HOUSE NUMBER,STREET,ZIPCODE,PROPERTY CLASS CODE DESCRIPTION,FRONT,DEPTH,HOUSE NUMBER STREET ZIPCODE
108,LONSDALE,14208,TWO FAMILY DWELLING,32.00,105.00,108 LONSDALE 14208
150,DETROIT,14206,RESIDENTIAL VACANT LAND,30.00,108.00,150 DETROIT 14206
372,ROEHRER,14208,TWO FAMILY DWELLING,28.00,50.00,372 ROEHRER 14208
76,PERSHING,14211,RESIDENTIAL VACANT LAND,35.00,110.00,76 PERSHING 14211
280,DETROIT,14212,RESIDENTIAL VACANT LAND,30.00,108.00,280 DETROIT 14212
214,TIMON,14208,ONE FAMILY DWELLING,30.00,130.00,214 TIMON 14208
777,SYCAMORE,14212,COMMERCIAL VACANT LAND,31.53,102.00,777 SYCAMORE 14212
178,DETROIT,14212,RESIDENTIAL VACANT LAND,30.00,108.00,178 DETROIT 14212
180,HERMAN,14211,RESIDENTIAL VACANT LAND,30.00,132.00,180 HERMAN 14211
382,UTICA EAST,14208,TWO FAMILY DWELLING,28.50,100.00,382 UTICA EAST 14208
300,DETROIT,14212,DOWNTOWN ROW TYPE (DETACHED),30.00,108.00,300 DETROIT 14212
408,UTICA EAST,14208,TWO FAMILY DWELLING,32.50,113.00,408 UTICA EAST 14208
383,BRISTOL,14207,RESIDENTIAL VACANT LAND,26.88,79.60,383 BRISTOL 14207
270,HERMAN,14211,RESIDENTIAL VACANT LAND,25.00,132.00,270 HERMAN 14211
418,UTICA EAST,14208,ONE FAMILY DWELLING,35.00,113.00,418 UTICA EAST 14208
869,BROADWAY,14212,COMMERCIAL VACANT LAND,84.60,204.98,869 BROADWAY 14212
432,UTICA EAST,14208,APARTMENT,32.50,113.00,432 UTICA EAST 14208
436,UTICA EAST,14208,THREE FAMILY DWELLING,32.50,113.00,436 UTICA EAST 14208
425,UTICA EAST,14208,THREE FAMILY DWELLING,30.00,142.00,425 UTICA EAST 14208
489,UTICA EAST,14208,TWO FAMILY DWELLING,30.00,142.00,489 UTICA EAST 14208
52,REED,14212,RESIDENTIAL VACANT LAND,30.00,115.00,52 REED 14212
65,CLARE,14206,RESIDENTIAL VACANT LAND,25.00,109.00,65 CLARE 14206
56,TIMON,14211,RESIDENTIAL VACANT LAND,30.00,123.00,56 TIMON 14211
8,VIOLA,14208,TWO FAMILY DWELLING,30.92,132.00,8 VIOLA 14208
102,REED,14212,RESIDENTIAL VACANT LAND,30.00,115.00,102 REED 14212
111,CLARE,14206,ONE FAMILY DWELLING,29.00,116.00,111 CLARE 14206
33,VIOLA,14208,ONE FAMILY DWELLING,30.00,132.50,33 VIOLA 14208
134,REED,14212,RESIDENTIAL VACANT LAND,30.00,115.00,134 REED 14212
517,FILLMORE,14206,RESIDENTIAL VACANT LAND,30.00,125.00,517 FILLMORE 14206
565,HIGH,14211,RESIDENTIAL VACANT LAND,30.00,97.00,565 HIGH 14211
119,WALDEN,14211,COMMERCIAL VACANT LAND,33.00,100.00,119 WALDEN 14211
194,WINSLOW,14208,ONE FAMILY DWELLING,30.00,108.00,194 WINSLOW 14208
196,WINSLOW,14208,ONE FAMILY DWELLING,30.00,108.00,196 WINSLOW 14208
238,REED,14211,RESIDENTIAL VACANT LAND,30.00,115.00,238 REED 14211
571,FILLMORE,14212,RESIDENTIAL VACANT LAND,30.00,125.00,571 FILLMORE 14212
214,WINSLOW,14208,RESIDENTIAL VACANT LAND,30.00,108.00,214 WINSLOW 14208
162,GERMAIN,14207,TWO FAMILY DWELLING,25.00,204.29,162 GERMAIN 14207
23,WINSLOW,14208,TWO FAMILY DWELLING,30.70,86.00,23 WINSLOW 14208
215,WINSLOW,14208,RESIDENTIAL VACANT LAND,30.00,104.00,215 WINSLOW 14208
59,RICH,14211,RESIDENTIAL VACANT LAND,30.00,108.00,59 RICH 14211
600,CLINTON,14210,COMMERCIAL VACANT LAND,27.78,134.00,600 CLINTON 14210
256,GROTE,14207,TWO FAMILY DWELLING,45.00,140.00,256 GROTE 14207
16,WOHLERS,14208,TWO FAMILY DWELLING,30.00,110.00,16 WOHLERS 14208
180,WOHLERS,14208,TWO FAMILY DWELLING,30.00,100.00,180 WOHLERS 14208
470,FILLMORE,14206,RESIDENTIAL VACANT LAND,30.00,0.00,470 FILLMORE 14206
225,JOHNSON ST,14211,RESIDENTIAL VACANT LAND,35.00,132.00,225 JOHNSON ST 14211
882,CLINTON,14210,RESIDENTIAL VACANT LAND,25.00,0.00,882 CLINTON 14210
27,ROTHER,14212,RESIDENTIAL VACANT LAND,30.00,97.00,27 ROTHER 14212
444,WOHLERS,14208,ONE FAMILY DWELLING,35.00,105.00,444 WOHLERS 14208
386,WOODLAWN,14208,TWO FAMILY DWELLING,32.00,120.00,386 WOODLAWN 14208
510,FILLMORE,14206,RESIDENTIAL VACANT LAND,26.50,156.73,510 FILLMORE 14206
886,CLINTON,14210,RESIDENTIAL VACANT LAND,25.00,0.00,886 CLINTON 14210
390,WOODLAWN,14208,ONE FAMILY DWELLING,30.00,120.00,390 WOODLAWN 14208
400,WOODLAWN,14208,ONE FAMILY DWELLING,27.50,126.00,400 WOODLAWN 14208
263,WOLTZ,14211,RESIDENTIAL VACANT LAND,32.00,108.00,263 WOLTZ 14211
376,ROEHRER,14208,RESIDENTIAL VACANT LAND,33.00,50.00,376 ROEHRER 14208
408,WOODLAWN,14208,TWO FAMILY DWELLING,30.00,126.00,408 WOODLAWN 14208
180,TIMON,14208,RESIDENTIAL VACANT LAND,30.00,130.00,180 TIMON 14208
446,WOODLAWN,14208,TWO FAMILY DWELLING,36.66,132.00,446 WOODLAWN 14208
482,WOODLAWN,14208,ONE FAMILY DWELLING,30.00,132.00,482 WOODLAWN 14208
540,WOODLAWN,14208,TWO FAMILY DWELLING,30.00,146.00,540 WOODLAWN 14208
347,WOODLAWN,14208,TWO FAMILY DWELLING,25.50,110.00,347 WOODLAWN 14208
58,BARDOL,14211,ONE FAMILY DWELLING,32.00,120.00,58 BARDOL 14211
287,COIT,14212,RESIDENTIAL VACANT LAND,30.00,108.00,287 COIT 14212
41,BARDOL,14211,ONE FAMILY DWELLING,29.20,120.00,41 BARDOL 14211
98,BOX,14211,TWO FAMILY DWELLING,30.00,117.00,98 BOX 14211
102,BOX,14211,MULTIPLE RESIDENCES,30.00,117.00,102 BOX 14211
104,BOX,14211,TWO FAMILY DWELLING,30.00,117.00,104 BOX 14211
135,MILITARY,14207,TWO FAMILY DWELLING,30.00,47.86,135 MILITARY 14207
206,GIBSON,14212,RESIDENTIAL VACANT LAND,30.00,110.00,206 GIBSON 14212
33,HOUGHTON,14212,RESIDENTIAL VACANT LAND,30.00,155.00,33 HOUGHTON 14212
128,BOX,14211,ONE FAMILY DWELLING,31.00,117.00,128 BOX 14211
47,HOUGHTON,14212,RESIDENTIAL VACANT LAND,30.00,100.00,47 HOUGHTON 14212
236,BOX,14211,ONE FAMILY DWELLING,30.00,120.00,236 BOX 14211
127,BOX,14211,TWO FAMILY DWELLING,31.00,118.00,127 BOX 14211
209,DETROIT,14212,RESIDENTIAL VACANT LAND,30.00,118.00,209 DETROIT 14212
65,KOSCIUSZKO,14212,RESIDENTIAL VACANT LAND,30.00,100.00,65 KOSCIUSZKO 14212
211,BOX,14211,ONE FAMILY DWELLING,30.00,118.00,211 BOX 14211
511,SHERMAN,14211,ONE FAMILY DWELLING,28.00,132.00,511 SHERMAN 14211
135,KOSCIUSZKO,14212,RESIDENTIAL VACANT LAND,30.00,100.00,135 KOSCIUSZKO 14212
147,KOSCIUSZKO,14212,RESIDENTIAL VACANT LAND,30.00,100.00,147 KOSCIUSZKO 14212
223,CHELSEA,14211,TWO FAMILY DWELLING,30.00,106.00,223 CHELSEA 14211
151,KOSCIUSZKO,14212,RESIDENTIAL VACANT LAND,30.00,100.00,151 KOSCIUSZKO 14212
21,BRIGHTON,14212,ONE FAMILY DWELLING,128.70,0.00,21 BRIGHTON 14212
14,KOSCIUSZKO,14212,RESIDENTIAL VACANT LAND,30.00,32.00,14 KOSCIUSZKO 14212
256,BRISTOL,14206,RESIDENTIAL VACANT LAND,25.00,116.00,256 BRISTOL 14206
635,DELAVAN EAST,14211,DOWNTOWN ROW TYPE (DETACHED),27.14,115.00,635 DELAVAN EAST 14211
152,JAMES,14210,TWO FAMILY DWELLING,25.00,115.00,152 JAMES 14210
651,DELAVAN EAST,14211,RESIDENTIAL VACANT LAND,35.18,135.00,651 DELAVAN EAST 14211
671,DELAVAN EAST,14211,TWO FAMILY DWELLING,30.16,116.00,671 DELAVAN EAST 14211
544,SHERMAN,14211,TWO FAMILY DWELLING,38.00,66.00,544 SHERMAN 14211
222,DUTTON,14211,TWO FAMILY DWELLING,30.00,104.00,222 DUTTON 14211
67,PARADE EAST,14211,ONE FAMILY DWELLING,35.00,150.00,67 PARADE EAST 14211
69,PARADE EAST,14211,ONE FAMILY DWELLING,32.00,150.00,69 PARADE EAST 14211
385,EMSLIE,14206,RESIDENTIAL VACANT LAND,38.33,0.00,385 EMSLIE 14206
25,KENT,14212,RESIDENTIAL VACANT LAND,30.00,100.00,25 KENT 14212
606,FERRY EAST,14211,TWO FAMILY DWELLING,30.00,120.00,606 FERRY EAST 14211
642,FERRY EAST,14211,TWO FAMILY DWELLING,60.00,120.00,642 FERRY EAST 14211
648,FERRY EAST,14211,TWO FAMILY DWELLING,30.00,120.00,648 FERRY EAST 14211
577,FILLMORE,14212,RESIDENTIAL VACANT LAND,30.00,125.00,577 FILLMORE 14212
728,FERRY EAST,14211,TWO FAMILY DWELLING,35.00,135.00,728 FERRY EAST 14211
495,WOODLAWN,14208,TWO FAMILY DWELLING,30.00,105.00,495 WOODLAWN 14208
202,DELAVAN EAST,14208,THREE FAMILY DWELLING,34.00,120.00,202 DELAVAN EAST 14208
144,CLARK,14212,RESIDENTIAL VACANT LAND,30.00,90.00,144 CLARK 14212
585,FERRY EAST,14211,TWO FAMILY DWELLING,29.00,106.00,585 FERRY EAST 14211
1343,FILLMORE,14211,DINERS OR LUNCHEONETTES,32.00,109.00,1343 FILLMORE 14211
205,MADISON,14206,TWO FAMILY DWELLING,30.00,109.00,205 MADISON 14206
144,BOX,14211,ONE FAMILY DWELLING,30.00,117.00,144 BOX 14211
1355,FILLMORE,14211,COM VAC W/IMP,34.00,118.00,1355 FILLMORE 14211
84,LOMBARD,14212,RESIDENTIAL VACANT LAND,30.00,110.00,84 LOMBARD 14212
157,DEWEY,14214,ONE FAMILY DWELLING,30.00,128.00,157 DEWEY 14214
1280,FILLMORE,14211,RELIGIOUS,70.00,130.00,1280 FILLMORE 14211
780,CLINTON,14210,RESIDENTIAL VACANT LAND,81.56,77.00,780 CLINTON 14210
1322,FILLMORE,14211,DOWNTOWN ROW TYPE (DETACHED),32.00,119.00,1322 FILLMORE 14211
1324,FILLMORE,14211,DOWNTOWN ROW TYPE (DETACHED),30.00,119.00,1324 FILLMORE 14211
788,CLINTON,14210,RESIDENTIAL VACANT LAND,25.00,77.00,788 CLINTON 14210
1342,FILLMORE,14211,DOWNTOWN ROW TYPE (DETACHED),30.00,126.00,1342 FILLMORE 14211
2116,FILLMORE,14214,ONE STORY SMALL STRUCTURE,40.00,100.00,2116 FILLMORE 14214
1526,FILLMORE,14211,RESIDENTIAL VACANT LAND,30.00,120.00,1526 FILLMORE 14211
880,CLINTON,14210,RESIDENTIAL VACANT LAND,25.00,0.00,880 CLINTON 14210
1622,FILLMORE,14211,ALL OTHER EDUCATIONAL FACILITIES,60.00,135.00,1622 FILLMORE 14211
49,GESL,14214,ONE FAMILY DWELLING,33.50,129.00,49 GESL 14214
50,FOUGERON,14211,ONE FAMILY DWELLING,32.00,168.00,50 FOUGERON 14211
888,CLINTON,14210,RESIDENTIAL VACANT LAND,25.00,116.00,888 CLINTON 14210
123,STRAUSS,14212,RESIDENTIAL VACANT LAND,30.00,139.00,123 STRAUSS 14212
890,CLINTON,14210,RESIDENTIAL VACANT LAND,25.00,0.00,890 CLINTON 14210
30,MONROE,14210,TWO FAMILY DWELLING,29.00,109.00,30 MONROE 14210
111,FOUGERON,14211,TWO FAMILY DWELLING,34.00,180.00,111 FOUGERON 14211
38,MEMORIAL,14206,RESIDENTIAL VACANT LAND,31.94,118.00,38 MEMORIAL 14206
74,HEDLEY,14208,TWO FAMILY DWELLING,40.00,120.00,74 HEDLEY 14208
64,MONROE,14206,RESIDENTIAL VACANT LAND,30.00,109.00,64 MONROE 14206
16,FRENCH,14211,ONE FAMILY DWELLING,32.00,136.00,16 FRENCH 14211
28,FRENCH,14211,TWO FAMILY DWELLING,31.00,137.00,28 FRENCH 14211
70,MONROE,14206,RESIDENTIAL VACANT LAND,30.00,109.00,70 MONROE 14206
75,COIT,14206,RESIDENTIAL VACANT LAND,27.00,27.00,75 COIT 14206
70,FRENCH,14211,RESIDENTIAL VACANT LAND,29.50,137.00,70 FRENCH 14211
192,FRENCH,14211,RESIDENTIAL VACANT LAND,30.00,108.00,192 FRENCH 14211
33,FRENCH,14211,TWO FAMILY DWELLING,30.00,135.00,33 FRENCH 14211
43,FRENCH,14211,ONE FAMILY DWELLING,30.00,135.00,43 FRENCH 14211
40,STRAUSS,14212,ONE FAMILY DWELLING,30.00,139.00,40 STRAUSS 14212
79,FRENCH,14211,TWO FAMILY DWELLING,30.00,136.00,79 FRENCH 14211
154,COIT,14206,RESIDENTIAL VACANT LAND,30.00,108.00,154 COIT 14206
156,COIT,14206,RESIDENTIAL VACANT LAND,30.00,108.00,156 COIT 14206
228,HOWARD,14206,RESIDENTIAL VACANT LAND,52.00,104.00,228 HOWARD 14206
132,STRAUSS,14212,ONE FAMILY DWELLING,28.00,139.00,132 STRAUSS 14212
205,FRENCH,14211,ONE FAMILY DWELLING,29.50,138.00,205 FRENCH 14211
4,GIRARD,14211,TWO FAMILY DWELLING,29.50,165.00,4 GIRARD 14211
158,COIT,14206,RESIDENTIAL VACANT LAND,30.00,108.00,158 COIT 14206
184,ONEIDA,14206,RESIDENTIAL VACANT LAND,87.22,0.00,184 ONEIDA 14206
10,GIRARD,14211,MULTIPLE RESIDENCES,60.00,165.00,10 GIRARD 14211
18,GIRARD,14211,TWO FAMILY DWELLING,45.00,165.00,18 GIRARD 14211
38,GIRARD,14211,RESIDENTIAL LAND WITH SMALL IMPROVEMENTS,60.00,165.00,38 GIRARD 14211
13,ONEIDA,14206,ONE FAMILY DWELLING,25.00,116.00,13 ONEIDA 14206
78,GIRARD,14211,TWO FAMILY DWELLING,30.00,165.00,78 GIRARD 14211
399,JEFFERSON,14204,RESIDENTIAL VACANT LAND,30.00,125.00,399 JEFFERSON 14204
289,DETROIT,14212,RESIDENTIAL VACANT LAND,30.00,118.00,289 DETROIT 14212
73,GIRARD,14211,ONE FAMILY DWELLING,30.00,165.00,73 GIRARD 14211
768,GLENWOOD,14211,TWO FAMILY DWELLING,30.00,113.00,768 GLENWOOD 14211
31,KRETTNER,14206,RESIDENTIAL VACANT LAND,26.00,105.00,31 KRETTNER 14206
123,MONTICELLO,14214,TWO FAMILY DWELLING,30.00,107.00,123 MONTICELLO 14214
128,DETROIT,14206,TWO FAMILY DWELLING,30.00,108.00,128 DETROIT 14206
816,GLENWOOD,14211,ONE FAMILY DWELLING,30.00,113.00,816 GLENWOOD 14211
132,DETROIT,14206,RESIDENTIAL VACANT LAND,30.00,108.00,132 DETROIT 14206
142,OAKGROVE,14214,TWO FAMILY DWELLING,40.00,123.00,142 OAKGROVE 14214
868,GLENWOOD,14211,TWO FAMILY DWELLING,35.00,113.00,868 GLENWOOD 14211
168,DETROIT,14212,RESIDENTIAL VACANT LAND,30.00,108.00,168 DETROIT 14212
17,OAKWOOD EAST,14214,TWO FAMILY DWELLING,35.50,110.00,17 OAKWOOD EAST 14214
174,DETROIT,14212,RESIDENTIAL VACANT LAND,30.00,108.00,174 DETROIT 14212
102,KRETTNER,14206,ONE FAMILY DWELLING,45.00,106.00,102 KRETTNER 14206
912,GLENWOOD,14211,TWO FAMILY DWELLING,30.00,120.00,912 GLENWOOD 14211
16,PARKER,14214,OFFICE BUILDING,33.00,110.00,16 PARKER 14214
936,GLENWOOD,14211,ONE FAMILY DWELLING,33.00,120.00,936 GLENWOOD 14211
727,GLENWOOD,14211,ONE FAMILY DWELLING,30.00,0.00,727 GLENWOOD 14211
298,DETROIT,14212,RESIDENTIAL VACANT LAND,30.00,108.00,298 DETROIT 14212
541,MADISON,14212,RESIDENTIAL VACANT LAND,25.00,109.00,541 MADISON 14212
731,GLENWOOD,14211,RESIDENTIAL VACANT LAND,30.00,0.00,731 GLENWOOD 14211
744,SYCAMORE,14212,COMMERCIAL VACANT LAND,31.28,150.00,744 SYCAMORE 14212
746,SYCAMORE,14212,COMMERCIAL VACANT LAND,31.28,125.00,746 SYCAMORE 14212
737,GLENWOOD,14211,RESIDENTIAL VACANT LAND,30.00,0.00,737 GLENWOOD 14211
108,PECKHAM,14206,RESIDENTIAL VACANT LAND,25.48,60.00,108 PECKHAM 14206
939,GLENWOOD,14211,ONE FAMILY DWELLING,30.00,120.00,939 GLENWOOD 14211
686,HUMBOLDT,14211,ONE FAMILY DWELLING,30.00,150.00,686 HUMBOLDT 14211
694,EAGLE EAST,14210,RESIDENTIAL VACANT LAND,23.63,119.00,694 EAGLE EAST 14210
706,HUMBOLDT,14211,TWO FAMILY DWELLING,30.00,150.00,706 HUMBOLDT 14211
179,PLAYTER,14212,RESIDENTIAL VACANT LAND,32.00,93.00,179 PLAYTER 14212
698,EAGLE EAST,14210,COMMERCIAL VACANT LAND,26.28,125.00,698 EAGLE EAST 14210
716,HUMBOLDT,14211,ONE FAMILY DWELLING,30.00,150.00,716 HUMBOLDT 14211
900,HUMBOLDT,14211,APARTMENT,36.00,133.00,900 HUMBOLDT 14211
131,PLAYTER,14212,RESIDENTIAL VACANT LAND,30.00,91.00,131 PLAYTER 14212
904,EAGLE EAST,14210,RESIDENTIAL VACANT LAND,30.00,100.00,904 EAGLE EAST 14210
30,INTER PARK,14211,ONE FAMILY DWELLING,30.00,120.00,30 INTER PARK 14211
77,INTER PARK,14211,RESIDENTIAL VACANT LAND,29.00,120.00,77 INTER PARK 14211
166,PLAYTER,14212,RESIDENTIAL VACANT LAND,30.00,90.00,166 PLAYTER 14212
81,INTER PARK,14211,ONE FAMILY DWELLING,31.00,120.00,81 INTER PARK 14211
19,JOSEPHINE,14211,ONE FAMILY DWELLING,37.53,168.00,19 JOSEPHINE 14211
179,FRENCH,14211,RESIDENTIAL VACANT LAND,35.00,138.00,179 FRENCH 14211
237,SHERMAN,14212,TWO FAMILY DWELLING,30.00,105.00,237 SHERMAN 14212
175,SEARS,14212,RESIDENTIAL VACANT LAND,30.00,90.00,175 SEARS 14212
72,GIRARD,14211,RESIDENTIAL VACANT LAND,30.00,165.00,72 GIRARD 14211
19,KIEFER,14211,ONE FAMILY DWELLING,30.00,130.00,19 KIEFER 14211
328,LANDON,14211,ONE FAMILY DWELLING,35.00,141.00,328 LANDON 14211
356,LANDON,14211,TWO FAMILY DWELLING,32.00,141.00,356 LANDON 14211
515,FILLMORE,14206,RESIDENTIAL VACANT LAND,30.00,125.00,515 FILLMORE 14206
39,SHERMAN,14206,RESIDENTIAL VACANT LAND,30.00,105.00,39 SHERMAN 14206
458,WILSON,14211,RESIDENTIAL VACANT LAND,30.00,115.00,458 WILSON 14211
362,LANDON,14211,ONE FAMILY DWELLING,55.00,141.00,362 LANDON 14211
76,MONTGOMERY,14206,RESIDENTIAL VACANT LAND,22.00,69.00,76 MONTGOMERY 14206
1238,HERTEL,14216,DOWNTOWN ROW TYPE (DETACHED),20.30,38.00,1238 HERTEL 14216
321,LANDON,14211,RESIDENTIAL VACANT LAND,30.00,100.00,321 LANDON 14211
329,LANDON,14211,TWO FAMILY DWELLING,30.66,100.00,329 LANDON 14211
606,NORTH ST EAST,14211,RESIDENTIAL VACANT LAND,30.00,126.00,606 NORTH ST EAST 14211
58,LARK,14211,APARTMENT,30.00,123.00,58 LARK 14211
513,NORTH ST EAST,14211,RESIDENTIAL VACANT LAND,30.00,105.00,513 NORTH ST EAST 14211
496,FILLMORE,14206,RESIDENTIAL VACANT LAND,35.75,158.00,496 FILLMORE 14206
57,MARSHALL,14211,TWO FAMILY DWELLING,40.00,58.00,57 MARSHALL 14211
75,MARSHALL,14211,ONE FAMILY DWELLING,30.00,87.00,75 MARSHALL 14211
768,NORTHAMPTON,14211,ONE FAMILY DWELLING,30.00,133.00,768 NORTHAMPTON 14211
774,NORTHAMPTON,14211,TWO FAMILY DWELLING,32.00,167.00,774 NORTHAMPTON 14211
43,PERSHING,14211,RESIDENTIAL VACANT LAND,30.00,150.00,43 PERSHING 14211
946,NORTHAMPTON,14211,RESIDENTIAL VACANT LAND,34.00,130.00,946 NORTHAMPTON 14211
246,STANTON,14212,RESIDENTIAL VACANT LAND,30.00,105.00,246 STANTON 14212
891,SMITH,14206,RESIDENTIAL VACANT LAND,30.00,108.00,891 SMITH 14206
964,NORTHAMPTON,14211,RESIDENTIAL VACANT LAND,30.00,162.00,964 NORTHAMPTON 14211
715,NORTHAMPTON,14211,TWO FAMILY DWELLING,35.00,120.00,715 NORTHAMPTON 14211
40,PERSHING,14211,RESIDENTIAL VACANT LAND,30.00,174.00,40 PERSHING 14211
781,NORTHAMPTON,14211,TWO FAMILY DWELLING,35.00,87.00,781 NORTHAMPTON 14211
885,NORTHAMPTON,14211,TWO FAMILY DWELLING,30.00,120.00,885 NORTHAMPTON 14211
907,NORTHAMPTON,14211,TWO FAMILY DWELLING,31.00,120.00,907 NORTHAMPTON 14211
935,NORTHAMPTON,14211,RESIDENTIAL VACANT LAND,34.00,120.00,935 NORTHAMPTON 14211
260,WOLTZ,14211,RESIDENTIAL VACANT LAND,30.00,118.00,260 WOLTZ 14211
77,TOWNSEND,14206,RESIDENTIAL VACANT LAND,30.00,100.00,77 TOWNSEND 14206
62,GIBSON,14206,RESIDENTIAL VACANT LAND,31.00,110.00,62 GIBSON 14206
466,NORTHLAND,14211,ONE FAMILY DWELLING,30.00,120.00,466 NORTHLAND 14211
596,NORTHLAND,14211,ONE FAMILY DWELLING,34.00,121.00,596 NORTHLAND 14211
465,NORTHLAND,14211,ONE FAMILY DWELLING,27.00,100.00,465 NORTHLAND 14211
127,TAUNTON,14216,TWO FAMILY DWELLING,30.00,132.00,127 TAUNTON 14216
28,PINK,14206,RESIDENTIAL VACANT LAND,29.00,100.00,28 PINK 14206
127,PLAYTER,14212,RESIDENTIAL VACANT LAND,30.00,91.00,127 PLAYTER 14212
497,NORTHLAND,14211,ONE FAMILY DWELLING,30.00,120.00,497 NORTHLAND 14211
218,TOWNSEND,14212,APARTMENT,30.00,100.00,218 TOWNSEND 14212
597,NORTHLAND,14211,MANUFACTURING & PROCESSING,196.30,0.00,597 NORTHLAND 14211
35,SWEET,14212,RESIDENTIAL VACANT LAND,11.60,100.00,35 SWEET 14212
118,PARADE NORTH,14211,ONE FAMILY DWELLING,33.00,94.00,118 PARADE NORTH 14211
78,VILLA,14216,ONE FAMILY DWELLING,60.00,104.00,78 VILLA 14216
126,PARADE NORTH,14211,MULTIPLE RESIDENCES,35.00,102.00,126 PARADE NORTH 14211
43,SWEET,14212,RESIDENTIAL VACANT LAND,30.00,100.00,43 SWEET 14212
47,SWEET,14212,RESIDENTIAL VACANT LAND,30.00,100.00,47 SWEET 14212
132,PARADE NORTH,14211,RESIDENTIAL VACANT LAND,35.00,127.00,132 PARADE NORTH 14211
239,REED,14211,RESIDENTIAL VACANT LAND,30.00,115.00,239 REED 14211
146,PARADE NORTH,14211,TWO FAMILY DWELLING,35.00,120.00,146 PARADE NORTH 14211
150,PARADE NORTH,14211,TWO FAMILY DWELLING,35.00,110.00,150 PARADE NORTH 14211
190,BOND,14206,TWO FAMILY DWELLING,31.53,65.00,190 BOND 14206
317,WATSON,14212,ONE FAMILY DWELLING,30.00,107.00,317 WATSON 14212
59,RICKERT,14211,ONE FAMILY DWELLING,30.00,130.00,59 RICKERT 14211
908,NORTHAMPTON,14211,RESIDENTIAL VACANT LAND,33.60,131.00,908 NORTHAMPTON 14211
86,SWEET,14212,RESIDENTIAL VACANT LAND,30.00,100.00,86 SWEET 14212
90,SWEET,14212,RESIDENTIAL VACANT LAND,30.00,100.00,90 SWEET 14212
244,BERKSHIRE,14215,ONE FAMILY DWELLING,35.00,102.00,244 BERKSHIRE 14215
666,RILEY,14211,ONE FAMILY DWELLING,30.00,101.00,666 RILEY 14211
685,RILEY,14211,TWO FAMILY DWELLING,30.00,100.00,685 RILEY 14211
711,RILEY,14211,TWO FAMILY DWELLING,31.00,100.00,711 RILEY 14211
34,ROETZER,14211,RESIDENTIAL VACANT LAND,30.00,130.00,34 ROETZER 14211
282,REED,14211,RESIDENTIAL VACANT LAND,30.00,105.00,282 REED 14211
40,ROETZER,14211,RESIDENTIAL VACANT LAND,30.00,130.00,40 ROETZER 14211
99,CLARENCE,14215,RESIDENTIAL VACANT LAND,30.00,112.00,99 CLARENCE 14215
18,ROHR,14211,TWO FAMILY DWELLING,30.00,130.00,18 ROHR 14211
115,CLARENCE,14215,TWO FAMILY DWELLING,32.00,112.00,115 CLARENCE 14215
98,JAMES,14210,RESIDENTIAL VACANT LAND,25.00,115.00,98 JAMES 14210
45,SCHAUF,14211,TWO FAMILY DWELLING,30.00,93.31,45 SCHAUF 14211
141,CLARENCE,14215,ONE FAMILY DWELLING,31.00,112.00,141 CLARENCE 14215
584,WILLIAM,14206,MANUAL CAR WASH,40.00,118.00,584 WILLIAM 14206
54,CLARENCE,14215,ONE FAMILY DWELLING,30.00,112.00,54 CLARENCE 14215
81,RICH,14211,RESIDENTIAL VACANT LAND,30.00,109.00,81 RICH 14211
846,WILLIAM,14206,COMMERCIAL VACANT LAND,78.35,86.48,846 WILLIAM 14206
140,URBAN,14211,TWO FAMILY DWELLING,32.00,190.00,140 URBAN 14211
227,TOWNSEND,14212,RESIDENTIAL VACANT LAND,30.00,100.00,227 TOWNSEND 14212
58,RICH,14211,RESIDENTIAL VACANT LAND,26.00,108.00,58 RICH 14211
662,UTICA EAST,14211,TWO FAMILY DWELLING,30.00,120.00,662 UTICA EAST 14211
80,RICH,14211,RESIDENTIAL VACANT LAND,30.00,109.00,80 RICH 14211
35,KENT,14212,RESIDENTIAL VACANT LAND,30.00,100.00,35 KENT 14212
56,WILSON,14206,RESIDENTIAL VACANT LAND,30.00,100.00,56 WILSON 14206
21,KRETTNER,14206,RESIDENTIAL VACANT LAND,25.00,105.00,21 KRETTNER 14206
655,UTICA EAST,14211,TWO FAMILY DWELLING,30.00,142.00,655 UTICA EAST 14211
41,KRETTNER,14206,RESIDENTIAL VACANT LAND,30.00,105.00,41 KRETTNER 14206
96,BEVERLY,14208,ONE FAMILY DWELLING,33.00,104.00,96 BEVERLY 14208
313,DEWEY,14214,ONE FAMILY DWELLING,36.50,120.00,313 DEWEY 14214
19,WINCHESTER,14211,TWO FAMILY DWELLING,30.00,140.00,19 WINCHESTER 14211
102,DREXEL,14214,ONE FAMILY DWELLING,48.00,105.00,102 DREXEL 14214
137,KRETTNER,14206,RESIDENTIAL VACANT LAND,30.00,105.00,137 KRETTNER 14206
390,WINSLOW,14211,TWO FAMILY DWELLING,30.00,113.00,390 WINSLOW 14211
4,WARREN,14212,RESIDENTIAL VACANT LAND,37.10,100.00,4 WARREN 14212
27,STANTON,14206,RESIDENTIAL VACANT LAND,30.00,105.00,27 STANTON 14206
594,AMHERST EAST,14215,ONE FAMILY DWELLING,35.00,102.00,594 AMHERST EAST 14215
486,WINSLOW,14211,ONE FAMILY DWELLING,30.00,113.00,486 WINSLOW 14211
620,AMHERST EAST,14215,ONE FAMILY DWELLING,35.00,102.00,620 AMHERST EAST 14215
