HOUSE NUMBER,STREET,ZIPCODE,PROPERTY CLASS CODE DESCRIPTION,FRONT,DEPTH,HOUSE NUMBER STREET ZIPCODE
621,FULTON,14210,ONE FAMILY DWELLING,25.00,151.00,621 FULTON 14210
192,MIAMI,14204,ONE FAMILY DWELLING,25.50,185.00,192 MIAMI 14204
87,HAMBURG,14204,COMMERCIAL VACANT LAND,200.00,112.00,87 HAMBURG 14204
88,O CONNELL,14204,ONE FAMILY DWELLING,25.00,100.00,88 O CONNELL 14204
249,FOURTEENTH,14213,TWO FAMILY DWELLING,25.00,148.50,249 FOURTEENTH 14213
97,ELK,14210,RESIDENTIAL VACANT LAND,25.00,63.00,97 ELK 14210
26,ST STEPHENS,14210,MULTIPLE RESIDENCES,48.00,135.00,26 ST STEPHENS 14210
19,ST STEPHENS,14210,ONE FAMILY DWELLING,38.00,115.00,19 ST STEPHENS 14210
22,BOLTON,14210,TWO FAMILY DWELLING,30.00,107.00,22 BOLTON 14210
622,FULTON,14210,RESIDENTIAL VACANT LAND,30.00,127.00,622 FULTON 14210
41,ST STEPHENS,14210,ONE FAMILY DWELLING,30.00,115.00,41 ST STEPHENS 14210
155,SIDWAY,14210,RESIDENTIAL VACANT LAND,25.00,134.00,155 SIDWAY 14210
78,SIDWAY,14210,TWO FAMILY DWELLING,30.00,112.00,78 SIDWAY 14210
203,ELK,14210,RESIDENTIAL VACANT LAND,30.00,150.00,203 ELK 14210
407,FULTON,14210,TWO FAMILY DWELLING,25.00,151.00,407 FULTON 14210
186,HAMPSHIRE,14213,TWO FAMILY DWELLING,34.00,100.00,186 HAMPSHIRE 14213
224,SMITH,14210,ONE FAMILY DWELLING,43.00,25.00,224 SMITH 14210
17,CALIFORNIA,14213,ONE FAMILY DWELLING,25.00,104.00,17 CALIFORNIA 14213
30,SOUTH,14204,TWO FAMILY DWELLING,52.00,76.50,30 SOUTH 14204
29,SOUTH,14204,TWO FAMILY DWELLING,35.00,116.00,29 SOUTH 14204
389,FULTON,14210,RESIDENTIAL VACANT LAND,32.00,151.00,389 FULTON 14210
40,EUCLID,14210,RESIDENTIAL VACANT LAND,39.30,107.00,40 EUCLID 14210
429,FULTON,14210,RESIDENTIAL VACANT LAND,30.00,151.00,429 FULTON 14210
361,HAMPSHIRE,14213,ONE FAMILY DWELLING,31.50,104.00,361 HAMPSHIRE 14213
906,SOUTH PARK,14210,ONE FAMILY DWELLING,30.00,251.00,906 SOUTH PARK 14210
916,SOUTH PARK,14210,COMMERCIAL VACANT LAND,28.00,100.00,916 SOUTH PARK 14210
505,SOUTH PARK,14204,COMMERCIAL VACANT LAND,23.75,91.00,505 SOUTH PARK 14204
424,FULTON,14210,RESIDENTIAL VACANT LAND,81.00,151.00,424 FULTON 14210
381,FULTON,14210,RESIDENTIAL VACANT LAND,30.00,151.00,381 FULTON 14210
385,FULTON,14210,RESIDENTIAL VACANT LAND,32.00,151.00,385 FULTON 14210
68,HERKIMER,14213,THREE FAMILY DWELLING,30.00,100.00,68 HERKIMER 14213
238,ALBANY,14213,MULTIPLE RESIDENCES,20.00,147.50,238 ALBANY 14213
71,ALBANY,14213,MANUFACTURING & PROCESSING,69.50,115.00,71 ALBANY 14213
387,FULTON,14210,RESIDENTIAL VACANT LAND,32.00,151.00,387 FULTON 14210
89,LOUISIANA,14204,RESIDENTIAL VACANT LAND,24.67,102.00,89 LOUISIANA 14204
189,MASSACHUSETTS,14213,MULTIPLE RESIDENCES,29.00,166.00,189 MASSACHUSETTS 14213
37,BARTON,14213,ONE FAMILY DWELLING,30.00,100.00,37 BARTON 14213
